NearUserPos,FarUserPos,NearUserDist,FarUserDist,TransmitPower,SNR,SumRateFarUser,SumRateNearUser,BERFarUser,BERNearUser,OutageProbFarUser,OutageProbNearUser,OptimalMA,NormalizedCapacityNear,NormalizedCapacityFar,NormalizedBERNear,NormalizedBERFar,NormalizedOutageNear,NormalizedOutageFar,Score
c3,a4,21.21320344,35.35533906,-104,-20,3.99E-05,3.99E-05,0.4984,0.4941,1,1,OMA,5.59E-06,5.59E-06,0.957549913,0.951620162,1,1,0.007525038
c3,a4,21.21320344,35.35533906,-102,-18,6.49E-05,6.49E-05,0.5052,0.4906,1,1,OMA,9.28E-06,9.28E-06,0.950765652,0.966921692,1,1,0.006432461
c3,a4,21.21320344,35.35533906,-100,-16,0.000101048,0.000101048,0.4952,0.4953,1,1,OMA,1.46E-05,1.46E-05,0.959875945,0.944419442,1,1,0.008156066
c3,a4,21.21320344,35.35533906,-98,-14,0.000161089,0.000161089,0.5071,0.4865,1,1,OMA,2.34E-05,2.34E-05,0.942818376,0.97119712,1,1,0.006911574
c3,a4,21.21320344,35.35533906,-96,-12,0.000250771,0.000250771,0.4998,0.4945,1,1,OMA,3.66E-05,3.66E-05,0.958325257,0.954770477,1,1,0.007036552
c3,a4,21.21320344,35.35533906,-94,-10,0.000401176,0.000401176,0.4959,0.4924,1,1,OMA,5.88E-05,5.88E-05,0.954254701,0.945994599,1,1,0.008698707
c3,a4,21.21320344,35.35533906,-92,-8,0.000636814,0.000636814,0.4928,0.4878,1,1,OMA,9.35E-05,9.35E-05,0.945338244,0.939018902,1,1,0.010758689
c3,a4,21.21320344,35.35533906,-90,-6,0.000998272,0.000998272,0.4933,0.4838,1,1,OMA,0.000146727,0.000146727,0.937584803,0.940144014,1,1,0.011637791
c3,a4,21.21320344,35.35533906,-88,-4,0.001591418,0.001591418,0.4989,0.4788,1,1,OMA,0.000234076,0.000234076,0.927893003,0.952745275,1,1,0.011308822
c3,a4,21.21320344,35.35533906,-86,-2,0.002544482,0.002544482,0.486,0.4703,1,1,OMA,0.000374428,0.000374428,0.911416941,0.923717372,1,1,0.017228234
