No,Comb,DistanceNu,DistanceFu,tSNR,rSINRFu,rSINRNu,cGainFu,cGainNu,SumRate,OutageFu,OutageNu,BERFu,BerNu
103,b2c1,7.071,15.811,-104,0.000157643,0.004000931,1.60552E-05,0.0004059,0.003027595,1,1,0.5034,0.4686
104,b2c4,7.071,15.811,-104,0.000159517,0.003967378,1.60065E-05,0.000405204,0.003005754,1,1,0.4953,0.4636
105,b2d1,7.071,21.2132,-104,4.91935E-05,0.004040671,4.9691E-06,0.000396236,0.0029484,1,1,0.4977,0.4567
106,b2d2,7.071,15.811,-104,0.000162046,0.003975684,0.000016043,0.000394561,0.002970222,1,1,0.4989,0.4755
107,b2d3,7.071,15.811,-104,0.000160806,0.004019459,1.60417E-05,0.00039778,0.003003863,1,1,0.4956,0.4722
108,b2d4,7.071,21.2132,-104,4.98505E-05,0.003954579,4.9124E-06,0.0004015,0.002941585,1,1,0.4934,0.4639
109,b3a1,7.071,21.2132,-104,4.87942E-05,0.003989438,4.8888E-06,0.000403052,0.002859847,1,1,0.4987,0.4582
110,b3a2,7.071,15.811,-104,0.000158834,0.003952371,1.58107E-05,0.000403975,0.0029635,1,1,0.4883,0.4681
111,b3a3,7.071,15.811,-104,0.000160727,0.003999357,1.58743E-05,0.00039551,0.002978668,1,1,0.4951,0.4667
112,b3a4,7.071,21.2132,-104,4.94341E-05,0.004047482,4.9496E-06,0.000403517,0.002906558,1,1,0.493,0.4628
113,b3b1,7.071,15.811,-104,0.00016196,0.003929048,1.59749E-05,0.000396647,0.002966359,1,1,0.493,0.4727
114,b3b4,7.071,15.811,-104,0.000161752,0.004017592,1.59771E-05,0.000395508,0.002983296,1,1,0.4938,0.4677
115,b3c1,7.071,15.811,-104,0.000157643,0.004000931,1.60552E-05,0.0004059,0.003027595,1,1,0.5034,0.4686
116,b3c4,7.071,15.811,-104,0.000159517,0.003967378,1.60065E-05,0.000405204,0.003005754,1,1,0.4953,0.4636
117,b3d1,7.071,21.2132,-104,4.91935E-05,0.004040671,4.9691E-06,0.000396236,0.0029484,1,1,0.4977,0.4567
118,b3d2,7.071,15.811,-104,0.000162046,0.003975684,0.000016043,0.000394561,0.002970222,1,1,0.4989,0.4755
119,b3d3,7.071,15.811,-104,0.000160806,0.004019459,1.60417E-05,0.00039778,0.003003863,1,1,0.4956,0.4722
120,b3d4,7.071,21.2132,-104,4.98505E-05,0.003954579,4.9124E-06,0.0004015,0.002941585,1,1,0.4934,0.4639
121,c2a1,7.071,21.2132,-104,4.87942E-05,0.003989438,4.8888E-06,0.000403052,0.002859847,1,1,0.4987,0.4582
122,c2a2,7.071,15.811,-104,0.000158834,0.003952371,1.58107E-05,0.000403975,0.0029635,1,1,0.4883,0.4681
123,c2a3,7.071,15.811,-104,0.000160727,0.003999357,1.58743E-05,0.00039551,0.002978668,1,1,0.4951,0.4667
124,c2a4,7.071,21.2132,-104,4.94341E-05,0.004047482,4.9496E-06,0.000403517,0.002906558,1,1,0.493,0.4628
125,c2b1,7.071,15.811,-104,0.00016196,0.003929048,1.59749E-05,0.000396647,0.002966359,1,1,0.493,0.4727
126,c2b4,7.071,15.811,-104,0.000161752,0.004017592,1.59771E-05,0.000395508,0.002983296,1,1,0.4938,0.4677
127,c2c1,7.071,15.811,-104,0.000157643,0.004000931,1.60552E-05,0.0004059,0.003027595,1,1,0.5034,0.4686
128,c2c4,7.071,15.811,-104,0.000159517,0.003967378,1.60065E-05,0.000405204,0.003005754,1,1,0.4953,0.4636
129,c2d1,7.071,21.2132,-104,4.91935E-05,0.004040671,4.9691E-06,0.000396236,0.0029484,1,1,0.4977,0.4567
130,c2d2,7.071,15.811,-104,0.000162046,0.003975684,0.000016043,0.000394561,0.002970222,1,1,0.4989,0.4755
131,c2d3,7.071,15.811,-104,0.000160806,0.004019459,1.60417E-05,0.00039778,0.003003863,1,1,0.4956,0.4722
132,c2d4,7.071,21.2132,-104,4.98505E-05,0.003954579,4.9124E-06,0.0004015,0.002941585,1,1,0.4934,0.4639
133,c3a1,7.071,21.2132,-104,4.87942E-05,0.003989438,4.8888E-06,0.000403052,0.002859847,1,1,0.4987,0.4582
134,c3a2,7.071,15.811,-104,0.000158834,0.003952371,1.58107E-05,0.000403975,0.0029635,1,1,0.4883,0.4681
135,c3a3,7.071,15.811,-104,0.000160727,0.003999357,1.58743E-05,0.00039551,0.002978668,1,1,0.4951,0.4667
136,c3a4,7.071,21.2132,-104,4.94341E-05,0.004047482,4.9496E-06,0.000403517,0.002906558,1,1,0.493,0.4628
