No,Comb,DistanceNu,DistanceFu,tSNR,rSINRFu,rSINRNu,cGainFu,cGainNu,SumRate,OutageFu,OutageNu,BERFu,BerNu,MaScheme,
1185,"c2,d1",7.071,21.2132,-59,0.7085521204,31.9443100547,0.0000049691,0.0003962361,5.0549962044,0.7217000000,0.0877000000,0.1785000000,0.0145000000,NOMA,
1186,"c2,d2",7.071,15.8110,-59,1.3603076464,31.4305377001,0.0000160430,0.0003945610,5.4886904200,0.3283000000,0.0906000000,0.1016000000,0.0129000000,NOMA,
1187,"c2,d3",7.071,15.8110,-59,1.3529886087,31.7766139825,0.0000160417,0.0003977799,5.4973440449,0.3139000000,0.0871000000,0.1032000000,0.0126000000,NOMA,
1188,"c2,d4",7.071,21.2132,-59,0.7187742418,31.2636954386,0.0000049124,0.0004015003,5.0433928911,0.7305000000,0.0860000000,0.1837000000,0.0142000000,NOMA,
1189,"c3,a1",7.071,21.2132,-59,0.7054210678,31.5392785153,0.0000048888,0.0004030517,5.0201209748,0.7164000000,0.0913000000,0.1818000000,0.0144000000,NOMA,
1190,"c3,a2",7.071,15.8110,-59,1.3417780329,31.2462344415,0.0000158107,0.0004039752,5.4685598492,0.3278000000,0.0878000000,0.1024000000,0.0124000000,NOMA,
1191,"c3,a3",7.071,15.8110,-59,1.3457349332,31.6176901880,0.0000158743,0.0003955102,5.4968092231,0.3209000000,0.0901000000,0.1068000000,0.0143000000,NOMA,
1192,"c3,a4",7.071,21.2132,-59,0.7100410705,31.9981582402,0.0000049496,0.0004035167,5.0450755742,0.7217000000,0.0904000000,0.1819000000,0.0138000000,NOMA,
1193,"c3,b1",7.071,15.8110,-59,1.3554519869,31.0618511836,0.0000159749,0.0003966465,5.4919412394,0.3317000000,0.0941000000,0.1050000000,0.0146000000,NOMA,
1194,"c3,b4",7.071,15.8110,-59,1.3550657885,31.7618532600,0.0000159771,0.0003955077,5.4820614516,0.3335000000,0.0895000000,0.1038000000,0.0130000000,NOMA,
1195,"c3,c1",7.071,15.8110,-59,1.3421234080,31.6301391585,0.0000160552,0.0004058999,5.5097466765,0.3348000000,0.0943000000,0.1096000000,0.0145000000,NOMA,
1196,"c3,c4",7.071,15.8110,-59,1.3413690568,31.3648786432,0.0000160065,0.0004052044,5.4924745819,0.3264000000,0.0960000000,0.1065000000,0.0143000000,NOMA,
1197,"c3,d1",7.071,21.2132,-59,0.7085521204,31.9443100547,0.0000049691,0.0003962361,5.0549962044,0.7217000000,0.0877000000,0.1785000000,0.0145000000,NOMA,
1198,"c3,d2",7.071,15.8110,-59,1.3603076464,31.4305377001,0.0000160430,0.0003945610,5.4886904200,0.3283000000,0.0906000000,0.1016000000,0.0129000000,NOMA,
1199,"c3,d3",7.071,15.8110,-59,1.3529886087,31.7766139825,0.0000160417,0.0003977799,5.4973440449,0.3139000000,0.0871000000,0.1032000000,0.0126000000,NOMA,
1200,"c3,d4",7.071,21.2132,-59,0.7187742418,31.2636954386,0.0000049124,0.0004015003,5.0433928911,0.7305000000,0.0860000000,0.1837000000,0.0142000000,NOMA,
